,numeric__R1_SG,numeric__voronoi_volume_temporal,numeric__CN_temporal,numeric__q4,numeric__q6,numeric__gaussian_peak2_center,numeric__gaussian_peak3_center,numeric__neighbor_1,numeric__neighbor_2
0,0.06113144070550334,-3.8305915463832205,0.8656385638430948,0.1534292613272555,0.7250978265001322,-0.775693169918668,0.5325323433586163,1.1187291681504576,0.053800797706935556
1,-0.11849924556154293,0.6803815218503587,-0.08649605394311947,-0.8803146864986047,-0.275031728601607,0.5731615934360889,-0.07888824259425746,-2.4213607397687156,0.015888948790961876
2,-0.10540208965539932,2.1540548397111707,-0.13709994617674964,0.0931234959862195,-0.22982945466355886,0.5105604467069498,-0.08456743496790295,0.15205128391971812,0.007362496061250568
3,0.11021099773934111,-0.41175082392292095,0.42638604631938504,0.015603453473886475,-0.3597834338026587,0.22386947243940086,-0.0225529112998629,1.9538493867614306,0.03624789894092828
4,0.191773316799663,-0.11273573096696055,0.5004249140329193,0.05839766540448181,0.6811108525143936,-0.33689579166821204,0.20280061591183768,1.4117985206888988,0.007713115954538807
5,-0.09315832168795168,1.4200899932169704,-1.775510884931282,-0.19969822093989933,-0.3408956464045332,0.14489261778071522,-0.07294730318972142,-1.9441921064193592,-0.01202122641261667
6,-0.09025223146600184,2.92080777954252,-0.719881716393138,0.3378066726916586,-0.14230176322744229,0.19103248471510598,-0.07094849848945159,-0.5761466545925942,0.01315757333068177
7,0.22846186980314087,-2.2150564697629305,0.41376958626206034,-0.04427217306511011,-0.35995410415634976,-0.5843353693868266,-0.18331798186554807,0.40567909472156316,-0.03404926846269518
8,-0.09860481080249883,-2.930820039633545,0.3169532525673276,0.41456907654937825,0.6269262219168013,-0.2916891970686265,-0.24190555557433982,-0.721134415915003,-0.13435201386455448
9,-0.08566092587425374,2.3256204763485586,0.19581623841950205,0.051355455070734024,-0.3253387700751773,0.3450969129640725,0.0197949687106302,0.6207264624536037,0.046251677954569456
